title,location,job_type,employer,category
Cereal Growers Sacco Manager,Nairobi,Full Time,The African Talent Company (TATC),Management
Social Media Specialist,Nairobi,Full Time,UHA College of Nutritional Science Ltd,Marketing & Communications
Hospitality Sales Executive,Nairobi,Full Time,Corporate Staffing Services Ltd,Sales & Business Development
Hospitality Sales Manager,Nairobi,Full Time,Corporate Staffing Services Ltd,Sales & Business Development
Sales Engineer Intern,Nairobi,Internships & Graduate,Davis & Shirtliff Group,Engineering
Partnership Manager - East Africa,Nairobi,Full Time,iFlix,Marketing & Communications
Business Development Manager,Nairobi,Full Time,Longulf Trading,Sales & Business Development
Partner Business Manager,Nairobi,Full Time,SAP Africa (Pty) Ltd,Sales & Business Development
Nairobi Director,Nairobi,Full Time,Crisis Action,Management
After Sales Specialist - Sunculture,Nairobi,Full Time,FirstCut Hires,Customer Service & Support
Human Resource Officer.,Nairobi,Full Time,Username Investment Limited,Recruitment
Management Accountant - Momentum Credit,Nairobi,Full Time,FirstCut Hires,Accounting & Auditing
"Business Line Manager, Industrial Air Division",Nairobi,Full Time,Atlas Copco Eastern Africa Limited,Sales & Business Development
Research Manager,Nairobi,Full Time,World Animal Protection,Research
Cfo,Nairobi,Full Time,Summit Recruitment & Search,Accounting & Auditing
"Senior Manager Consumer Insights, East Africa",Nairobi,Full Time,The Nielsen Company,Sales & Business Development
Administrative Assistant,Nairobi,Full Time,DNV GL,Administrative
Field Recruiters – Nairobi,Nairobi,Part Time,Voices Africa,Research
Intern,Nairobi,Internships & Graduate,Gap Marketing,Sales & Business Development
Medical Sales Representative,Nairobi,Full Time,The African Talent Company (TATC),Sales & Business Development
Research And Compliance Officer,Nairobi,Full Time,Virtual HR,Quality Control & Assurance
Customer Relations Executive,Nairobi,Full Time,Virtual HR,Customer Service & Support
Skilled Labourer,Nairobi,Full Time,Medecins Sans Frontieres – Holland,Trades & Services
Officer - Monitoring And Evaluation,Rest of Kenya,Full Time,Concern Worldwide,Project Management
Officer - Governance And Advocacy,Rest of Kenya,Full Time,Concern Worldwide,Project Management
Desk Grant Development Manager – Kenya Or Uganda,Nairobi,Full Time,Handicap International (HI),Project Management
Associate Director - Confederation Development,Nairobi,Full Time,Oxfam Kenya,Project Management
Program Development And Quality Coordinator,Nairobi,Full Time,CARE USA,Project Management
Long-Term Key Expert (Indicatively Full Time 57 Months) – Legal Aid Expert,Nairobi,Full Time,Bureau for Institutional Reform and Democracy,Consulting & Strategy
Non-Key Expert (Part-Time) – Monitoring And Evaluation Expert,Nairobi,Full Time,Bureau for Institutional Reform and Democracy,Consulting & Strategy
Non-Key Expert (Part-Time) – Regulatory Drafting Expert (Legal Aid),Nairobi,Full Time,Bureau for Institutional Reform and Democracy,Consulting & Strategy
Regional Emergency And Post-Crisis Officer,Nairobi,Full Time,International Organization for Migration (IOM),Project Management
Compliance Officer,Nairobi,Full Time,International Organization for Migration (IOM),Supply Chain & Procurement
Grants And Contracts Officer,Nairobi,Full Time,Interchurch Medical Assistance,Accounting & Auditing
Senior Global Campaign Communications Manager,Nairobi,Full Time,Save the Children International Kenya,Marketing & Communications
Project Officer Somalia,Nairobi,Full Time,Aktis Strategy,Project Management
Project Manager Somalia,Nairobi,Full Time,Aktis Strategy,Project Management
Mid-Term Evaluation Consultant,Nairobi,Full Time,Terre des hommes Foundation (Tdh),Consulting & Strategy
Safety & Security Officer - Ref: Sso/1/2018,Rest of Kenya,Full Time,CARE Kenya (CARE International),Project Management
Safety & Security Coordinator,Rest of Kenya,Full Time,CARE Kenya (CARE International),Project Management
Finance And Admin Coordinator,Nairobi,Full Time,Legal Action Worldwide (LAW),Accounting & Auditing
"Country Director, Farmer-To-Farmer (Kenya And Tanzania)",Nairobi,Full Time,ACDI/VOCA,Project Management
Senior Accountant,Nairobi,Full Time,Heshima Kenya,Accounting & Auditing
Business Education Trainer,Nairobi,Full Time,Heshima Kenya,Project Management
Professional Guidance Counselor,Nairobi,Full Time,Heshima Kenya,Project Management
Ilri Consultancy – Proposal And Grant Writers,Nairobi,Full Time,International Livestock Research Institute (ILRI),Consulting & Strategy
Laboratory Manager – Mazingira Centre,Nairobi,Full Time,International Livestock Research Institute (ILRI),Research
Education Adviser - Somalia (Nairobi-Based),Nairobi,Full Time,Concern Worldwide,Project Management
Project Coordinator/community Services Manager – Turkana – (Ref.2017/72),Rest of Kenya,Full Time,Catholic Relief Services Kenya Program (CRS),Project Management
Project Coordinator/community Services Manager – Nakuru – (Ref.2017/071) ,Nakuru,Full Time,Catholic Relief Services Kenya Program (CRS),Project Management
Project Officer - Community Training/capacity Strengthening – Turkana – (Ref.2017/075),Rest of Kenya,Full Time,Catholic Relief Services Kenya Program (CRS),Project Management
Project Officer - Community Training/capacity Strengthening – Narok – (Ref.2017/074),Rest of Kenya,Full Time,Catholic Relief Services Kenya Program (CRS),Project Management
Project Officer - Community Training/capacity Strengthening – Nakuru – (Ref.2017/073),Nakuru,Full Time,Catholic Relief Services Kenya Program (CRS),Project Management
Project Officers – Prevention – Nakuru – (Ref.2017/085),Nakuru,Full Time,Catholic Relief Services Kenya Program (CRS),Project Management
Project Officers – Prevention – Turkana – (Ref.2017/086),Rest of Kenya,Full Time,Catholic Relief Services Kenya Program (CRS),Project Management
Project Officers – Prevention – Kajiado – (Ref.2017/084),Rest of Kenya,Full Time,Catholic Relief Services Kenya Program (CRS),Project Management
Project Officer – Silc – Nakuru – (Ref.2017/089),Nakuru,Full Time,Catholic Relief Services Kenya Program (CRS),Project Management
Project Officer – Silc – Narok – (Ref.2017/090),Rest of Kenya,Full Time,Catholic Relief Services Kenya Program (CRS),Project Management
Project Officer – Silc – Baringo – (Ref.2017/088),Rest of Kenya,Full Time,Catholic Relief Services Kenya Program (CRS),Project Management
Project Officer - Treatment And Retention– Nakuru – (Ref.2017/093),Nakuru,Full Time,Catholic Relief Services Kenya Program (CRS),Project Management
Project Officer - Treatment And Retention– Turkana – (Ref.2017/094),Rest of Kenya,Full Time,Catholic Relief Services Kenya Program (CRS),Project Management
Project Officer - Treatment And Retention– Kajiado – (Ref.2017/092),Rest of Kenya,Full Time,Catholic Relief Services Kenya Program (CRS),Project Management
Project Officers - Youth Entrepreneurship – Turkana – (Ref.2017/096),Nakuru,Full Time,Catholic Relief Services Kenya Program (CRS),Project Management
Project Officers - Youth Entrepreneurship – Nakuru – (Ref.2017/095) ,Nakuru,Full Time,Catholic Relief Services Kenya Program (CRS),Project Management
Project Officers - Adolescent – Samburu – (Ref.2017/068),Rest of Kenya,Full Time,Catholic Relief Services Kenya Program (CRS),Project Management
Project Officers - Adolescent – Narok – (Ref.2017/067),Rest of Kenya,Full Time,Catholic Relief Services Kenya Program (CRS),Project Management
Project Officers - Adolescent – Laikipia – (Ref.2017/066) ,Rest of Kenya,Full Time,Catholic Relief Services Kenya Program (CRS),Project Management
Treatment And Referral Manager (Ref.2017/087),Nakuru,Full Time,Catholic Relief Services Kenya Program (CRS),Project Management
Senior Project Officer/county Community Services Coordinator – Nakuru – (Ref. 2017/080),Nakuru,Full Time,Catholic Relief Services Kenya Program (CRS),Project Management
Senior Project Officer/county Community Services Coordinator – Samburu – (Ref.2017/082),Rest of Kenya,Full Time,Catholic Relief Services Kenya Program (CRS),Project Management
Senior Project Officer/county Community Services Coordinator – Narok – (Ref.2017/081),Rest of Kenya,Full Time,Catholic Relief Services Kenya Program (CRS),Project Management
Senior Project Officer/county Community Services Coordinator – Baringo – (Ref. 2017/077),Rest of Kenya,Full Time,Catholic Relief Services Kenya Program (CRS),Project Management
Senior Project Officer/county Community Services Coordinator – Turkana – (Ref.2017/076),Rest of Kenya,Full Time,Catholic Relief Services Kenya Program (CRS),Project Management
Senior Project Officer (Ref.2018/004),Rest of Kenya,Full Time,Catholic Relief Services Kenya Program (CRS),Project Management
Project Officer – Ovc Marsabit – (Ref.2018/003),Rest of Kenya,Full Time,Catholic Relief Services Kenya Program (CRS),Project Management
Project Officer – Ovc Tana River – (Ref.2018/002),Rest of Kenya,Full Time,Catholic Relief Services Kenya Program (CRS),Project Management
Project Officer – Ovc Garissa – (Ref.2018/001),Rest of Kenya,Full Time,Catholic Relief Services Kenya Program (CRS),Project Management
Sales Account Manager,Nairobi,Full Time,The African Talent Company (TATC),Sales & Business Development
Receptionist/ Customer Service ,Nairobi,Full Time,The African Talent Company (TATC),Administrative
Receptionist,Nairobi,Full Time,"Right Corporation (Shenzhen Right Net Tech Co., Ltd)",Administrative
Senior Human Resource And Administration Officer ,Nairobi,Full Time,MINISO LIFESTYLE KENYA LIMITED,Recruitment
Auto Electrical Technician ,Nairobi,Full Time,Dashcam Center,Engineering
Intern Portfolio Quality Officer,Mombasa,Internships & Graduate,Watu Credit Limited,Administrative
Finance Officer,Nairobi,Full Time,The World Bank Group (WBG),Accounting & Auditing
Finance Analyst,Nairobi,Full Time,The World Bank Group (WBG),Accounting & Auditing
Microfinance Risk Officer,Nairobi,Full Time,Corporate Staffing Services Ltd,Quality Control & Assurance
Loan Officer,Nairobi,Full Time,Mwananchi Credit Ltd,Accounting & Auditing
Sales And Marketing Executive,Nairobi,Full Time,Miamu Properties Limited,Sales & Business Development
Deputy Director Social Marketing ,Nairobi,Full Time,Marie Stopes Kenya (MSK),Marketing & Communications
Accountant,Nairobi,Full Time,Denko Properties Limited,Accounting & Auditing
Librarian Internship,Nairobi,Full Time,The Nairobi Centre for International Arbitration (NCIA),Administrative
Supply Chain Management Internship,Nairobi,Full Time,The Nairobi Centre for International Arbitration (NCIA),Supply Chain & Procurement
Human Resource Management Internship,Nairobi,Full Time,The Nairobi Centre for International Arbitration (NCIA),Recruitment
Finance & Accounts Internship,Nairobi,Full Time,The Nairobi Centre for International Arbitration (NCIA),Accounting & Auditing
Ict Internship,Nairobi,Full Time,The Nairobi Centre for International Arbitration (NCIA),IT & Telecoms
Sales Executives,Mombasa,Full Time,Izwe Loans Kenya Limited,Sales & Business Development
Payroll Officer,Nairobi,Full Time,The African Talent Company (TATC),Accounting & Auditing
Farm Manager,Rest of Kenya,Full Time,Mayfeeds Kenya Ltd,Farming
Creative Designer,Nairobi,Full Time,Redipixel Creative Media LTD,Art & Design
Montessori School Assistant Teacher (2 Positions),Nairobi,Full Time,Summit Recruitment & Search,Teaching & Training
 Montessori School Teacher,Nairobi,Full Time,Summit Recruitment & Search,Teaching & Training
Procurement & Logistics,Nairobi,Full Time,Afribon,Supply Chain & Procurement
Territory Sales Executive ,Nairobi,Full Time,Kama Kazi Africa,Sales & Business Development
Lead Trainers And Trainers,Nairobi,Full Time,Centum Learning Ltd,Teaching & Training
Operations Head,Nairobi,Full Time,Centum Learning Ltd,Teaching & Training
Executive Secretary,Nairobi,Full Time,Anonymous,Administrative
Production Manager,Thika,Full Time,"Adept Systems, Management Consultants",Farming
Accounts Assistant,Nairobi,Full Time,Engineers Board of Kenya (EBK),Accounting & Auditing
Finance Assistant,Nairobi,Full Time,Engineers Board of Kenya (EBK),Accounting & Auditing
Deputy Human Resource Manager,Nairobi,Full Time,Kenya Medical Training College,Recruitment
Supply Chain Management Assistant Ii,Nairobi,Full Time,Kenya Medical Training College,Supply Chain & Procurement
Library Assistant I,Nairobi,Full Time,Kenya Medical Training College,Teaching & Training
Chief Corporate Communications Officer,Nairobi,Full Time,Kenya Medical Training College,Marketing & Communications
Clerical Officer,Nairobi,Full Time,Kenya Medical Training College,Administrative
Finance Manager,Nairobi,Full Time,Kenya Medical Training College,Accounting & Auditing
Proposal Writer ( Ecology And Environment),Nairobi,Full Time,African Center of Tropical Ecology,Project Management
Legal Services Manager,Nairobi,Full Time,Kenya Medical Training College,Legal
Housekeeper/cateress Iii,Nairobi,Full Time,Kenya Medical Training College,Food Services
Driver,Nairobi,Full Time,Kenya Medical Training College,Administrative
Lecturer Ii (Occupational Therapy) ,Nairobi,Full Time,Kenya Medical Training College,Teaching & Training
Lecturer Ii (Orthopedic Technology) ,Nairobi,Full Time,Kenya Medical Training College,Teaching & Training
Lecturer Ii (Pharmacy) ,Rest of Kenya,Full Time,Kenya Medical Training College,Teaching & Training
Lecturer Ii (Physiotherapy) ,Nairobi,Full Time,Kenya Medical Training College,Teaching & Training
Lecturer Ii (Health Records & Information),Rest of Kenya,Full Time,Kenya Medical Training College,Teaching & Training
Lecturer Ii (Health Promotion),Rest of Kenya,Full Time,Kenya Medical Training College,Teaching & Training
Lecturer Ii (Orthopedic & Trauma) ,Rest of Kenya,Full Time,Kenya Medical Training College,Teaching & Training
Nurse,Nairobi,Full Time,Anonymous,Medicine & Pharmaceutical
Lecturer Il (Clinical Medicine),Rest of Kenya,Full Time,Kenya Medical Training College,Teaching & Training
Accounts Receivable Chaser,Nairobi,Full Time,Sendy Limited,Accounting & Auditing
Lecturer Ii (Nursing),Rest of Kenya,Full Time,Kenya Medical Training College,Teaching & Training
Lecturer Ii (Nutrition),Rest of Kenya,Full Time,Kenya Medical Training College,Teaching & Training
Marketing Executive Trainee (For A Leading Sacco Society Branch In Mombasa) - Very Urgent,Mombasa,Full Time,Skills Geographic,Marketing & Communications
Graphic Designer,Nairobi,Full Time,Sendy Limited,Art & Design
Quality Assurance Tester,Nairobi,Full Time,Sendy Limited,IT & Telecoms
Clerk Of Works (15) ,Nairobi,Full Time,Kenya Electricity Transmission Co. Ltd. (KETRACO),Engineering
Graduate Electrical Engineer (20),Nairobi,Full Time,Kenya Electricity Transmission Co. Ltd. (KETRACO),Engineering
Electrical Design Engineer,Nairobi,Full Time,Kenya Electricity Transmission Co. Ltd. (KETRACO),Engineering
Power System Protection Engineer ,Nairobi,Full Time,Kenya Electricity Transmission Co. Ltd. (KETRACO),Engineering
Substation Electrical Plant Engineer ,Nairobi,Full Time,Kenya Electricity Transmission Co. Ltd. (KETRACO),Engineering
Overhead Transmission Lines Engineer ,Nairobi,Full Time,Kenya Electricity Transmission Co. Ltd. (KETRACO),Engineering
Archives Assistant ,Nairobi,Full Time,Kenya Electricity Transmission Co. Ltd. (KETRACO),Administrative
Economist Ii ,Nairobi,Full Time,Kenya Electricity Transmission Co. Ltd. (KETRACO),Project Management
Economist,Nairobi,Full Time,Kenya Electricity Transmission Co. Ltd. (KETRACO),Project Management
Senior Economist,Nairobi,Full Time,Kenya Electricity Transmission Co. Ltd. (KETRACO),Project Management
Senior Research Officer ,Nairobi,Full Time,Kenya Electricity Transmission Co. Ltd. (KETRACO),Project Management
Assistant Accountant Projects ,Nairobi,Full Time,Kenya Electricity Transmission Co. Ltd. (KETRACO),Accounting & Auditing
Treasury Accountant ,Nairobi,Full Time,Kenya Electricity Transmission Co. Ltd. (KETRACO),Accounting & Auditing
General Ledger & Payable Accountant ,Nairobi,Full Time,Kenya Electricity Transmission Co. Ltd. (KETRACO),Accounting & Auditing
Supply Chain Officer ,Nairobi,Full Time,Kenya Electricity Transmission Co. Ltd. (KETRACO),Supply Chain & Procurement
"Manger, Supply Chain Management ",Nairobi,Full Time,Kenya Electricity Transmission Co. Ltd. (KETRACO),Supply Chain & Procurement
Housing Project Manager,Nairobi,Full Time,Human Capital Dimensions Africa Limited | HCDA,Building & Architecture
"Assistant General Manager – Nairobi, Kenya",Nairobi,Full Time,Summit Recruitment & Search,Management
Chief Accountant,Nairobi,Full Time,Crown Healthcare,Accounting & Auditing
Sales & Marketing Executive ,Rest of Kenya,Full Time,Anonymous,Sales & Business Development
Freight Forwarding Manager,Nairobi,Full Time,HRM Connection Ltd,Management
Management Trainee Program,Nairobi,Full Time,Kenya Pipeline Company Limited,Engineering
Sales Representative Intern,Nairobi,Internships & Graduate,Odyssey Capital Limited,Sales & Business Development
County Audit Committee Members,Rest of Kenya,Full Time,Busia County Public Service Board,Accounting & Auditing
Chairperson – County Audit Committee,Rest of Kenya,Full Time,Busia County Public Service Board,Accounting & Auditing
Close Protection Driver - Juba ,Outside Kenya,Full Time,Insight Secure,Administrative
"Maintenance Services Representative - Nairobi, Kenya",Nairobi,Full Time,Panasonic Aviation Corporation,Engineering
Chief Accountant,Nairobi,Full Time,Standard Bank Group,Accounting & Auditing
Transaction Risk Mitigation Officer,Nairobi,Full Time,Standard Bank Group,Quality Control & Assurance
Manager – Risk Advisory,Nairobi,Full Time,Parker Randall Eastern Africa,Accounting & Auditing
Restaurant Supervisor,Rest of Kenya,Full Time,Instep Business Solutions (IBS),Food Services
Housekeeping Personnel,Rest of Kenya,Full Time,Instep Business Solutions (IBS),Food Services
Cooks,Rest of Kenya,Full Time,Instep Business Solutions (IBS),Food Services
Waiters,Rest of Kenya,Full Time,Instep Business Solutions (IBS),Food Services
Receptionist,Rest of Kenya,Full Time,Instep Business Solutions (IBS),Administrative
Ushers,Rest of Kenya,Full Time,Instep Business Solutions (IBS),Food Services
Accountant,Rest of Kenya,Full Time,Instep Business Solutions (IBS),Accounting & Auditing
Chef,Nairobi,Full Time,YMCA Kenya,Food Services
Restaurant Manager,Nairobi,Full Time,YMCA Kenya,Food Services
Stores Controller,Nairobi,Full Time,YMCA Kenya,Supply Chain & Procurement
Paediatrician,Outside Kenya,Full Time,Public Service Commission,Medicine & Pharmaceutical
Obstetrician & Gynaecologist,Outside Kenya,Full Time,Public Service Commission,Medicine & Pharmaceutical
Civil Engineer,Outside Kenya,Full Time,Public Service Commission,Engineering
"Director, Flights (Opas) ",Nairobi,Full Time,Public Service Commission,Management
Gender Officer Ii ,Nairobi,Full Time,Public Service Commission,Social Developement
Director (Nys) ,Nairobi,Full Time,Public Service Commission,Management
Deputy Director General (Nys),Nairobi,Full Time,Public Service Commission,Management
"Secretary, Human Resource Development",Nairobi,Full Time,Public Service Commission,Management
"Secretary, Human Resource Management (Policy Division)",Nairobi,Full Time,Public Service Commission,Management
Deputy Principal,Nairobi,Full Time,Public Service Commission,Farming
Senior Deputy Principal,Nairobi,Full Time,Public Service Commission,Farming
"Principal, (Lti Wajir)",Nairobi,Full Time,Public Service Commission,Farming
Engineer Ii (Agriculture) ,Nairobi,Full Time,Public Service Commission,Farming
Senior Assistant Director Of Physical Planning ,Nairobi,Full Time,Public Service Commission,Management
Deputy Director Of Physical Planning ,Nairobi,Full Time,Public Service Commission,Management
Secretary County Public Service Board ,Rest of Kenya,Full Time,Kwale County Government /County Public Service Board,Administrative
Member Of County Public Service Board ,Rest of Kenya,Full Time,Kwale County Government /County Public Service Board,Administrative
Customer Relations Officer ,Rest of Kenya,Full Time,Kwale County Government /County Public Service Board,Customer Service & Support
Radiographer,Rest of Kenya,Full Time,Kwale County Government /County Public Service Board,Medicine & Pharmaceutical
Registered Clinical Officers (Anaesthetist) ,Rest of Kenya,Full Time,Kwale County Government /County Public Service Board,Medicine & Pharmaceutical
Pathologist,Rest of Kenya,Full Time,Kwale County Government /County Public Service Board,Medicine & Pharmaceutical
Anaesthesiologist,Rest of Kenya,Full Time,Kwale County Government /County Public Service Board,Medicine & Pharmaceutical
Orthopaedic Surgeon,Rest of Kenya,Full Time,Kwale County Government /County Public Service Board,Medicine & Pharmaceutical
Construction Project Manager - Rural Community Projects,Nairobi,Full Time,Corporate Staffing Services Ltd,Engineering
Marketplace Operations Manager - Kenya,Nairobi,Full Time,UBER,Management
Photo Studio Photographer,Nairobi,Full Time,Colour Link Limited,Art & Design
Music Teacher Needed At Light International School (Urgently),Nairobi,Full Time,The Light International School,Teaching & Training
Social Media Marketing And Web Wordpress Designer,Nairobi,Full Time,Clifford Technologies Ltd,Art & Design
Freight Forwarding And Logistics Coordinator,Nairobi,Full Time,Imperial Managed Solutions East Africa,Supply Chain & Procurement
Radiographer,Rest of Kenya,Full Time,Kapsowar Hospital,Medicine & Pharmaceutical
Registered Clinical Officer,Rest of Kenya,Full Time,Kapsowar Hospital,Medicine & Pharmaceutical
Theatre Nurse,Rest of Kenya,Full Time,Kapsowar Hospital,Medicine & Pharmaceutical
Human Resource Manager,Rest of Kenya,Full Time,Kapsowar Hospital,Recruitment
Youth Training Instructors,Rest of Kenya,Full Time,Kwale County Government /County Public Service Board,Teaching & Training
Assistant Ecde Teacher Ii,Rest of Kenya,Full Time,Kwale County Government /County Public Service Board,Teaching & Training
Ecde Teachers Iii ,Rest of Kenya,Full Time,Kwale County Government /County Public Service Board,Teaching & Training
Ward Administrator For Tsimba/golini And Waa/ng'ombeni Wards,Rest of Kenya,Full Time,Kwale County Government /County Public Service Board,Administrative
Enforcement Officers,Rest of Kenya,Full Time,Kwale County Government /County Public Service Board,Administrative
Director Of Human Resource Management ,Rest of Kenya,Full Time,Kwale County Government /County Public Service Board,Recruitment
Agile Test Analyst,Nairobi,Full Time,Co-operative Bank of Kenya,IT & Telecoms
Senior Business Growth & Development Manager,Nairobi,Full Time,Equity Bank Limited,Management
"Relationship Manager, Premium Banking",Nairobi,Full Time,I&M Bank,Sales & Business Development
Consultancy Manager,Nairobi,Full Time,University of Nairobi Enterprises and Service (UNES Limited),Consulting & Strategy
Senior Human Resource And Administration Officer,Nairobi,Full Time,University of Nairobi Enterprises and Service (UNES Limited),Recruitment
Kitchen Supervisor,Nairobi,Full Time,University of Nairobi Enterprises and Service (UNES Limited),Food Services
Office Assistant,Nairobi,Full Time,University of Nairobi Enterprises and Service (UNES Limited),Administrative
Junior Graphic Designer,Nairobi,Full Time,Yellow Agency Limited,Art & Design
Lead Software Developer,Nairobi,Full Time,Micro Mobile Ltd,IT & Telecoms
Hr Business Partner,Nairobi,Full Time,Jijenge Credit limited,Recruitment
Ict Officer – Systems Administrator,Nairobi,Full Time,Micro Mobile Ltd,IT & Telecoms
Customer Feedback Leader,Nairobi,Full Time,The African Talent Company (TATC),Customer Service & Support
Sacco Operations Manager,Nairobi,Full Time,Nyati Sacco Ltd,Management
Digital Marketer,Nairobi,Full Time,Nabaleka Digital Solution,Marketing & Communications
Technical Sales Personnel (Energy Audits),Nairobi,Full Time,Lean Energy Solutions Ltd (Lean Solutions Group),Sales & Business Development
Paid Sales Interns,Nairobi,Internships & Graduate,Lean Energy Solutions Ltd (Lean Solutions Group),Sales & Business Development
Sales Executives,Mombasa,Full Time,G. North & Son Limited,Sales & Business Development
Chief Research And Development Officer,Nairobi,Full Time,Kenya Veterinary Vaccines Production Institute,Medicine & Pharmaceutical
"Deputy Director, Technical Services",Nairobi,Full Time,Kenya Veterinary Vaccines Production Institute,Medicine & Pharmaceutical
Executive Assistant/administration Assistant,Nairobi,Full Time,The African Talent Company (TATC),Administrative
Finance & Administration Manager,Nairobi,Full Time,The African Talent Company (TATC),Accounting & Auditing
Clerk Of Works (Engineering),Nairobi,Full Time,The African Talent Company (TATC),Engineering
Research Intern,Nairobi,Internships & Graduate,Consumer Insight,Research
Account Director,Nairobi,Full Time,The African Talent Company (TATC),Marketing & Communications
Stores And Logistics Team Leader,Nairobi,Full Time,Virtual HR,Supply Chain & Procurement
Human Resources & Administration Manager,Nairobi,Full Time,The African Talent Company (TATC),Recruitment
Career Advisor,Mombasa,Full Time,Institute of Advanced Technology (IAT),Customer Service & Support
Receptionist/ Customer Service ,Nairobi,Full Time,The African Talent Company (TATC),Customer Service & Support
Senior Research Executive,Nairobi,Full Time,Consumer Insight,Research
Experienced Applications Developer,Nairobi,Full Time,MCM Solutions,IT & Telecoms
Retail Manager,Nairobi,Full Time,Lintons Beauty World,Sales & Business Development
Legal Clerk,Rest of Kenya,Full Time,Laikipia County Government,Legal
Accountant Ii,Rest of Kenya,Full Time,Laikipia County Government,Accounting & Auditing
Accountant I,Rest of Kenya,Full Time,Laikipia County Government,Accounting & Auditing
Support & Data Analyst (Client Services),Nairobi,Full Time,ONA Systems,IT & Telecoms
Stores And Logistics Team Leader,Nairobi,Full Time,Virtual HR,Supply Chain & Procurement
Plumbers / Solar Water Heating Technicians,Nairobi,Full Time,Lean Energy Solutions Ltd (Lean Solutions Group),Engineering
Programme Director,Nairobi,Full Time,Human Capital Synergies (HCS) Africa Ltd,Project Management
Finance Director,Nairobi,Full Time,Human Capital Synergies (HCS) Africa Ltd,Accounting & Auditing
Executive Director,Nairobi,Full Time,Human Capital Synergies (HCS) Africa Ltd,Management
Call Centre Agent,Nairobi,Full Time,Sync Limited,Customer Service & Support
Products Agent- Interns ( Nine Posts),Nairobi,Internships & Graduate,Sync Limited,Marketing & Communications
Customer Experience Officer,Nairobi,Full Time,Sync Limited,Customer Service & Support
Sales Representatives,Nairobi,Full Time,Together As One,Sales & Business Development
Cleaner,Rest of Kenya,Full Time,Kamwenja Teachers’ College,Trades & Services
Housekeeper,Rest of Kenya,Full Time,Kamwenja Teachers’ College,Administrative
Secretary,Rest of Kenya,Full Time,Kamwenja Teachers’ College,Administrative
Accounts Clerk,Rest of Kenya,Full Time,Kamwenja Teachers’ College,Accounting & Auditing
College Bursar,Rest of Kenya,Full Time,Kamwenja Teachers’ College,Accounting & Auditing
Commision Sales Representatives,Nairobi,Full Time,Career King Kenya,Sales & Business Development
Communications Officer,Rest of Kenya,Full Time,Africa Sand Dam Foundation,Project Management
Internal Auditor,Nairobi,Full Time,Chai Diamond Investments Ltd,Accounting & Auditing
Principal Officer,Nairobi,Full Time,Chai Diamond Investments Ltd,Quality Control & Assurance
Kenphia Community Mobilization Coordinator (Cmc) - Nairobi,Nairobi,Full Time,National Council for Population and Development,Research
Kenphia Community Mobilization Coordinator (Cmc) - Western,Rest of Kenya,Full Time,National Council for Population and Development,Research
Accounting Intern,Nairobi,Internships & Graduate,Technovation Business Support,Accounting & Auditing
Kenphia Community Mobilization Coordinator (Cmc) - Coast,Rest of Kenya,Full Time,National Council for Population and Development,Research
Project Manager,Nairobi,Full Time,Technovation Business Support,IT & Telecoms
Kenphia Community Mobilization Coordinator (Cmc) - North Eastern,Rest of Kenya,Full Time,National Council for Population and Development,Research
Kenphia Community Mobilization Coordinator (Cmc) - Northern,Rest of Kenya,Full Time,National Council for Population and Development,Research
Cloud Product Manager - Cloud Sales Services,Nairobi,Full Time,Xtranet Communications Ltd,Sales & Business Development
Head Of Secretarial And Governance (Readvertisement),Nairobi,Full Time,Kenya Tea Development Agency Ltd (KTDA),Legal
Clerk Of Works,Nairobi,Full Time,Kenya Tea Development Agency Ltd (KTDA),Engineering
Machine Operator,Nairobi,Full Time,Summit Recruitment & Search,Engineering
Office Assistant,Mombasa,Full Time,Ezicon Insurance Agency,Administrative
Sales Man/driver,Rest of Kenya,Full Time,Ikokazi Ltd,Sales & Business Development
Extruder - Ruiru,Rest of Kenya,Full Time,Ikokazi Ltd,Trades & Services
Packaging Machine Operator - Ruiru,Rest of Kenya,Full Time,Ikokazi Ltd,Trades & Services
Fryer Operator - Ruiru,Rest of Kenya,Full Time,Ikokazi Ltd,Quality Control & Assurance
Quality Improvement (Qi) Advisor,Rest of Kenya,Full Time,Management Sciences for Health (MSH),Quality Control & Assurance
Human Resources For Health (Hrh) Management Senior Advisor,Rest of Kenya,Full Time,Management Sciences for Health (MSH),Recruitment
Chief Executive Officer,Nairobi,Full Time,The Kenya National Examinations Council,Management
Lodge Supervisor - Laikipia,Rest of Kenya,Full Time,Lalanasi Lodge,Food Services
Head Of Core Banking Systems,Outside Kenya,Full Time,Virtual HR,IT & Telecoms
Head Of Business Intelligence,Outside Kenya,Full Time,Virtual HR,Accounting & Auditing
Automobile Facilitator,Rest of Kenya,Full Time,CAP Youth Empowerment Institute,Teaching & Training
Fabrication & Welding Facilitator,Rest of Kenya,Full Time,CAP Youth Empowerment Institute,Teaching & Training
Merchandisers,Nairobi,Full Time,Peal Rite,Sales & Business Development
Drivers,Nairobi,Full Time,Peal Rite,Administrative
Office Assistants,Nairobi,Full Time,Peal Rite,Administrative
Distribution Clerks,Nairobi,Full Time,Peal Rite,Supply Chain & Procurement
Data Entry Clerks,Nairobi,Full Time,Peal Rite,Administrative
Business Interns,Nairobi,Full Time,Peal Rite,Sales & Business Development
Management Trainees,Nairobi,Full Time,Peal Rite,Management
Admin Assistants,Nairobi,Full Time,Peal Rite,Administrative
